#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)

+,xorg-server,"is the graphical server."
+,xorg-xwininfo,"allows querying information about windows."
+,xorg-xinit,"starts the graphical server."
+,polkit,"manages user policies."
+,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
+,ttf-inconsolata,"monospace font for pretty code listings and a terminal."
+,ttf-font-awesome,"provides extended glyph support."
+,noto-fonts,"is an expansive font package."
+,noto-fonts-emoji,"is an emoji font."
+A,lf-git,"is an extensive terminal file manager that everyone likes."
+,ueberzug,"enables previews in the lf file manager."
+,bc,"is used for a dropdown calculator."
+,xcompmgr,"is for transparency and removing screen-tearing."
+,xorg-xprop,"is a tool for detecting window properties."
+,arandr,"allows the user to customize monitor arrangements."
+,dosfstools,"allows your computer to access dos-like filesystems."
+,libnotify,"allows desktop notifications."
+,dunst,"is a suckless notification system."
+,exfat-utils,"allows management of FAT drives."
+,sxiv,"is a minimalist image viewer."
+,xwallpaper,"sets the wallpaper."
+,ffmpeg,"can record and splice video and audio on the command line."
+,ffmpegthumbnailer,"creates thumbnail previews of video files."
+,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
+,neovim,"a tidier vim with some useful features"
+,mpd,"is a lightweight music daemon."
+,mpc,"is a terminal interface for mpd."
+,mpv,"is the patrician's choice video player."
+,man-db,"lets you read man pages of programs."
+,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
+,ntfs-3g,"allows accessing NTFS partitions."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
+,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
+,unclutter,"hides an inactive mouse."
+,unzip,"unzips zips."
+,lynx,"is a terminal browser."
+,xcape,"gives the special escape/super mappings of LARBS."
+,xclip,"allows for copying and pasting from the command line."
+,xdotool,"provides window action utilities on the command line."
+,xorg-xdpyinfo,"aids with resolution determination and screen recording."
+,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
+,zathura,"is a pdf viewer with vim-like bindings."
+,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
+,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
+,mediainfo,"shows audio and video information."
+,atool,"manages and gives information about archives."
+,fzf,"is a fuzzy finder tool."
+,bat,"can highlight code output and display files."
+,xorg-xbacklight,"enables changing screen brightness levels."
+A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
+A,htop-vim,"is a graphical and colorful system monitor."
+G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
+G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
+G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
+G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
+,bmon,"is a bandwidth monitor and rate estimator."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
+,slock,"allows you to lock your computer, and quickly unlock with your password."
+,socat,"is a utility which establishes two byte streams and transfers data between them."
+,moreutils,"is a collection of useful unix tools."
+,firefox,"is a free and open-source web browser."
+,neovim,"is a free and open-source, screen-based text editor program."
+,dmenu,"is a keyboard-driven menu utility developed as part of the dwm project."
+,lf,"is a terminal file manager written in Go."
+,git,"is a distributed version control system."
+,feh,"?"
+,yay,"yet another yogurt is a pacman wrapper and AUR helper."
+,dash,"POSIX compliant shell that aims to be as small as possible."
+,pass,"stores, retrieves, generates, and synchronizes passwords securely."
+,syncthing,"open source continuous replication / cluster synchronization thing."
+,python-pywal,"generate and change colorschemes on the fly."
,calcurse,"is a text-based personal organizer."
,scrot,"simple command-line screenshot utility for X."
,screenkey,"a screencast tool to display your keys."
+,alsa-utils,".","ALSA confiiguration for PulseAudio."
+,alsa-firmware,"is firmware binaries for loader programs in alsa tools and hotplug firmware loader."
+,alsa-card-profile,"low-latency audio/video router and processor - ALSA card profiles."
+,alsa-plugins,"additional ALSA plugins."
+,wireplumber,"is a session /policy manger implementation for Pipewire"
+,pipewire,"low-latency audio/video router and processor."
+,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
+,pipewire-alsa,"low-latency audio/video router and processor - ALSA configuration."
+,pipewire-jack,"low-latency audio/video router and processor - Audio support."
+,pavucontrol,"pulseaudio volume control."
+,pulsemixer,"is an audio controller."
+,pamixer,"is a command-line audio interface."
+,imagemagick,"is an image viewing/manipulation program."
+,pam-gnupg-git,"."
